TRACT,meanHSize,percent_bachelorPlus,totalRace1,totalRace2,meanvalence
2739.02,1.64,70.4,2718,410,6.035782216
2741,1.84,67.9,2571,384,5.843997798
2742.02,1.8,63.1,3106,284,6.029965019
2751.01,2.61,43,440,280,5.822991586
2751.02,3.01,28.9,948,1917,5.854532998
2752,2.57,37,976,1879,5.963870705
2753.02,1.96,63.8,2951,456,5.915963136
2753.11,2.49,47.8,2030,1210,6.026620007
2754,1.92,64.2,1473,616,5.878008921
2755,3.14,28.3,655,2794,5.882912814
2756.02,2.13,76.8,2904,922,5.981154962
2756.03,2.52,39.4,1054,879,5.708003686
2760,2.48,59.9,2798,964,5.919594464
2761,2.03,53.3,1208,522,5.813819103
2764,2.68,65.4,2437,347,5.692636677
2765,2.52,53.4,2861,848,5.906272015
2766.01,2.47,64.4,2073,405,5.885805428
2766.03,1.61,65.3,3009,843,5.953336223
2766.04,1.78,49.1,2072,273,6.061376026
2770,2.54,64,3154,575,5.819797788
2771,2.98,44.6,1329,757,5.779090772
2772,2.52,33.2,455,779,5.967476244
2774,2.52,23.4,74,406,6.043515436
2780.01,2.69,46.1,1322,438,5.938811504
2781.02,2.11,62.6,2181,307,5.956213086
2911.1,2.98,11.8,7,1061,5.933891578
2911.2,,7.6,6,1222,5.757843236
2911.3,3.56,17,125,1819,5.794207117
2912.1,4,21.4,179,2552,5.710821135
2912.2,3.62,18.8,137,1843,5.70658262
2913,2.5,27.6,462,419,5.705487219
2920,3.72,16.7,711,2502,5.918631115
2932.01,3.11,28.8,809,2270,6.039193486
2932.02,3.66,17.4,375,2644,5.723574121
2933.01,2.71,35.3,986,400,5.850741641
2933.02,3.34,27.3,971,1953,5.769270853
2933.04,3.04,14.4,610,2067,5.752020293
2933.06,3.02,25.8,694,812,5.875757663
2933.07,3.05,18,211,1264,5.719722762
2941.1,4.25,8.5,333,2754,5.691771976
2941.2,4.34,4.5,78,1563,5.636605606
2942,4.15,6.3,378,3593,5.712288254
2943.01,3.96,7.3,198,1718,5.686529885
2943.02,4.18,4.4,142,3218,5.700560228
2944.1,3.11,27.7,755,1360,5.547749485
2944.21,3.18,13.2,150,1685,5.769226587
2945.1,4.54,8.2,260,3170,5.791007511
2945.2,3.94,7.8,94,2549,5.576788568
2946.1,3.68,6.8,38,3037,5.671184628
2946.2,3.95,8.6,191,3212,5.814555958
2947.01,3.77,2.8,76,2054,5.77353997
2948.1,4.5,2.9,59,2961,5.883261381
2948.2,4.41,,51,2544,5.854494583
2948.3,3.85,5.6,35,2585,5.786578728
2949,4.34,7.2,151,2279,5.623267096
2951.03,2.42,38.4,2530,920,5.839633452
2962.1,3,11.9,233,1479,5.54395931
2962.2,2.89,18,559,2110,5.797109351
2963,2.46,35.1,1689,1216,5.855300418
2964.01,2.65,35.8,1753,479,5.866846054
2964.02,2.68,22.1,1020,1059,5.740111233
2965,3.13,10.1,387,2235,5.735372855
2966,2.61,6.8,787,2719,5.757660929
2969.01,2.9,17.7,535,2155,5.754337293
2969.02,2.46,22.2,1194,1662,5.809979006
2970,2.37,33,2591,1294,5.753527541
2971.1,3.03,8.9,696,2382,5.830171998
2971.2,3.39,9.6,570,2106,5.68025281
2972.01,2.74,12.9,831,1562,5.728830172
2972.02,2.76,28.8,1551,1052,5.749423133
2973,2.95,34,1010,424,5.799407911
2974,2.44,47.4,2212,672,5.743622319
2975,2.42,36.3,2534,1016,5.865816877
2976.01,2.18,34,1332,441,5.851667141
2976.02,2.26,40.3,1946,1025,5.758507461
3010,2.5,46.5,2323,767,5.78984932
3011,2.55,45,3982,648,5.785102225
3012.03,2.4,48.9,2732,361,5.740388333
3012.04,2.5,34.2,3189,705,5.816954421
3012.05,3.06,54,1177,291,6.012393865
3012.06,2.81,37,3247,321,5.804531754
3013,2.89,59.8,1289,105,6.025805973
3014,2.99,52.7,2768,42,5.753644333
3015.01,3.09,34.1,1365,166,5.657631835
3015.02,2.84,30.1,4489,734,5.697523217
3016.01,2.77,18.9,3859,1012,5.897766589
3016.02,2.56,29.4,1333,1431,5.876702888
3017.01,2.71,30.4,1370,754,5.806011867
3017.02,3.04,29.4,3262,812,5.829539827
3018.01,2.57,31.9,1917,866,5.850452331
3018.02,2.76,27.7,1834,283,5.860537349
3019,2.5,42.7,4732,911,5.897812579
3020.02,2.36,37.3,2407,514,5.819766922
3020.03,2.7,34.1,2688,316,5.811062721
3020.04,2.75,33.5,2523,735,5.761786464
3021.02,2.27,36.3,3248,908,5.857737068
3021.03,2.98,26.7,2993,980,5.80794498
3021.04,2.76,36.1,1444,763,5.702892339
3022.01,2.43,21.9,2591,382,5.901050334
3022.02,2.69,29.8,3014,855,5.659797767
3023.01,2.92,30.3,1926,632,5.803539338
3023.02,2.9,25.2,1440,1848,5.821253401
3024.01,2.7,22.3,2565,1523,5.88002441
3025.03,3.11,24.6,2547,687,5.897294974
3025.04,3.01,22.1,1977,1040,5.869708095
3025.05,2.98,22.4,1386,1526,6.032814992
3025.06,2.5,32.5,1603,762,5.832187211
3101,3.05,48.6,3567,472,5.874157372
3102.01,2.8,40.3,3106,975,5.779963639
3102.02,2.83,45.4,2904,626,5.898771521
3103,2.87,41.2,1755,211,5.747203062
3104,2.51,42.2,1794,436,5.972469879
3105.01,2.71,30.9,962,1436,5.836175915
3106.01,2.72,36.4,1994,1855,5.776563369
3106.02,2.39,44,1096,493,5.826781816
3107.01,2.15,30.4,1647,362,5.815210199
3107.02,2.12,37.7,4231,1024,5.89661036
3107.03,2.63,29.6,3026,591,5.818536963
3108,2.69,38.1,2618,1267,5.879628773
3109,2.64,33.5,2533,1883,5.857083835
3110,2.79,36,1570,1176,5.811337575
3111,3.16,32.6,1444,1234,5.775793851
3112,2.64,35.5,1576,694,5.907783457
3113,2.56,37.1,1794,779,5.87109358
3114,2.32,42.2,1322,256,5.850622496
3115,2.27,41.2,3008,939,5.891244045
3116,1.91,46.7,3671,1081,5.875689232
3117,2.27,39.7,3281,828,5.88941375
3118.01,2.46,33.5,994,1048,5.927692395
3118.02,2.76,26.4,823,1549,5.780002289
3201,4.49,14.6,368,5701,5.76748829
3202.01,3.58,14.4,197,2396,5.78242883
3202.02,3.85,11.7,407,4012,5.828792445
3203,3.71,7.8,143,4870,5.806275021
4010.01,3.07,47.8,1795,466,5.932286905
4010.02,2.44,37.8,2115,725,5.852534278
4011.01,2.68,27.2,3039,992,5.820511046
4011.02,2.64,23.1,1345,725,5.768178191
4012.01,3.11,41.1,1554,640,5.859880793
4012.02,3.44,22.2,1843,1458,5.806902312
4012.03,3.19,31,2065,1824,5.734427466
4013.03,2.96,45.3,924,569,5.851692551
4013.04,2.82,44.4,2644,1244,5.825010596
4013.11,2.72,28.4,2478,1889,5.902699013
4013.12,2.66,30.3,2449,1727,5.813754068
4015,3.01,32.9,2174,1936,5.825514477
4016.01,2.5,32.6,2448,1387,5.904686202
4016.02,3.12,29.5,2190,1812,5.939228889
4016.03,2.03,37.7,1631,529,5.934868909
4017.01,2.47,36.5,2425,675,5.852458872
4017.03,3.06,30.6,1232,1388,5.968664956
4017.04,2.94,30.4,1210,2447,5.821148074
4018,2.78,58.8,4191,1330,5.834324061
4019.01,2.51,45.2,1861,761,5.895452648
4019.02,2.09,71.4,2993,700,5.982513524
4020.01,2.96,33.3,834,916,5.760804623
4020.02,2.76,41.7,1735,1114,5.91444033
4021.01,4.36,16.9,148,2947,5.948823167
4021.02,3.82,14.2,672,2581,5.654131867
4022,3.09,26.8,1130,3319,5.950427059
4023.01,4.24,14,550,3167,5.69186567
4023.03,3.83,11.4,546,2499,5.76214336
4023.04,4.19,3.2,211,2654,5.727170822
4024.02,3.25,27.7,711,3121,5.823840236
4024.03,3.96,18,1088,2364,5.830849594
4024.05,4.67,9.3,10,1872,5.813373125
